medium	description	compound	name
M_P	Media + produced compounds in Marshland soil on PASC	mobd	Molybdate
M_P	Media + produced compounds in Marshland soil on PASC	hxa	Hexanoate (n-C6:0)
M_P	Media + produced compounds in Marshland soil on PASC	slnt	Selenite
M_P	Media + produced compounds in Marshland soil on PASC	but	Butyrate (n-C4:0)
M_P	Media + produced compounds in Marshland soil on PASC	acald	Acetaldehyde
M_P	Media + produced compounds in Marshland soil on PASC	thym	Thymine C5H6N2O2
M_P	Media + produced compounds in Marshland soil on PASC	lys__L	L-Lysine
M_P	Media + produced compounds in Marshland soil on PASC	ind3ac	Indole 3 acetate C10H8NO2
M_P	Media + produced compounds in Marshland soil on PASC	etha	Ethanolamine
M_P	Media + produced compounds in Marshland soil on PASC	h2s	Hydrogen sulfide
M_P	Media + produced compounds in Marshland soil on PASC	pheme	Protoheme C34H30FeN4O4
M_P	Media + produced compounds in Marshland soil on PASC	ribflv	Riboflavin C17H20N4O6
M_P	Media + produced compounds in Marshland soil on PASC	h	H+
M_P	Media + produced compounds in Marshland soil on PASC	gua	Guanine
M_P	Media + produced compounds in Marshland soil on PASC	cl	Chloride
M_P	Media + produced compounds in Marshland soil on PASC	inost	Myo-Inositol
M_P	Media + produced compounds in Marshland soil on PASC	fol	Folate
M_P	Media + produced compounds in Marshland soil on PASC	urea	Urea CH4N2O
M_P	Media + produced compounds in Marshland soil on PASC	arg__L	L-Arginine
M_P	Media + produced compounds in Marshland soil on PASC	cell5	Cellulose (n=5 repeating units)
M_P	Media + produced compounds in Marshland soil on PASC	ocdcea	Octadecenoate (n-C18:1)
M_P	Media + produced compounds in Marshland soil on PASC	glc__D	D-Glucose
M_P	Media + produced compounds in Marshland soil on PASC	ala__D	D-Alanine
M_P	Media + produced compounds in Marshland soil on PASC	met__L	L-Methionine
M_P	Media + produced compounds in Marshland soil on PASC	btn	Biotin
M_P	Media + produced compounds in Marshland soil on PASC	ppa	Propionate (n-C3:0)
M_P	Media + produced compounds in Marshland soil on PASC	bz	Benzoate
M_P	Media + produced compounds in Marshland soil on PASC	ca2	Calcium
M_P	Media + produced compounds in Marshland soil on PASC	na1	Sodium
M_P	Media + produced compounds in Marshland soil on PASC	lac__L	L-Lactate
M_P	Media + produced compounds in Marshland soil on PASC	so4	Sulfate
M_P	Media + produced compounds in Marshland soil on PASC	h2o	H2O H2O
M_P	Media + produced compounds in Marshland soil on PASC	dhptd	4,5-dihydroxy-2,3-pentanedione
M_P	Media + produced compounds in Marshland soil on PASC	co	Carbon monoxide
M_P	Media + produced compounds in Marshland soil on PASC	2mpa	2 methylpropanoic acid
M_P	Media + produced compounds in Marshland soil on PASC	4abz	4-Aminobenzoate
M_P	Media + produced compounds in Marshland soil on PASC	glyc	Glycerol
M_P	Media + produced compounds in Marshland soil on PASC	pta	Pentanoate
M_P	Media + produced compounds in Marshland soil on PASC	asp__D	D-Aspartate
M_P	Media + produced compounds in Marshland soil on PASC	ura	Uracil
M_P	Media + produced compounds in Marshland soil on PASC	co2	CO2 CO2
M_P	Media + produced compounds in Marshland soil on PASC	mal__L	L-Malate
M_P	Media + produced compounds in Marshland soil on PASC	mg2	Magnesium
M_P	Media + produced compounds in Marshland soil on PASC	zn2	Zinc
M_P	Media + produced compounds in Marshland soil on PASC	hxan	Hypoxanthine
M_P	Media + produced compounds in Marshland soil on PASC	fe2	Fe2+ mitochondria
M_P	Media + produced compounds in Marshland soil on PASC	thm	Thiamin
M_P	Media + produced compounds in Marshland soil on PASC	pi	Phosphate
M_P	Media + produced compounds in Marshland soil on PASC	ppap	Propanoyl phosphate
M_P	Media + produced compounds in Marshland soil on PASC	nh4	Ammonium
M_P	Media + produced compounds in Marshland soil on PASC	isocap	Isocaproate
M_P	Media + produced compounds in Marshland soil on PASC	cobalt2	Co2+
M_P	Media + produced compounds in Marshland soil on PASC	spmd	Spermidine
M_P	Media + produced compounds in Marshland soil on PASC	cys__L	L-Cysteine
M_P	Media + produced compounds in Marshland soil on PASC	fe3	Iron (Fe3+)
M_P	Media + produced compounds in Marshland soil on PASC	k	Potassium
M_P	Media + produced compounds in Marshland soil on PASC	pydxn	Pyridoxine
M_X	Media + produced compounds in Marshland soil on Xylan	pnto__R	(R)-Pantothenate
M_X	Media + produced compounds in Marshland soil on Xylan	nac	Nicotinate
M_X	Media + produced compounds in Marshland soil on Xylan	fmn	FMN C17H19N4O9P
M_X	Media + produced compounds in Marshland soil on Xylan	ni2	Nickel
M_X	Media + produced compounds in Marshland soil on Xylan	cu2	Copper
M_X	Media + produced compounds in Marshland soil on Xylan	ascb__L	L-Ascorbate
M_X	Media + produced compounds in Marshland soil on Xylan	ac	Acetate
M_X	Media + produced compounds in Marshland soil on Xylan	5drib	5'-deoxyribose
M_X	Media + produced compounds in Marshland soil on Xylan	indole	Indole
M_X	Media + produced compounds in Marshland soil on Xylan	mn2	Manganese
M_X	Media + produced compounds in Marshland soil on Xylan	mobd	Molybdate
M_X	Media + produced compounds in Marshland soil on Xylan	xyl3	Xylotriose
M_X	Media + produced compounds in Marshland soil on Xylan	but	Butyrate (n-C4:0)
M_X	Media + produced compounds in Marshland soil on Xylan	acald	Acetaldehyde
M_X	Media + produced compounds in Marshland soil on Xylan	thym	Thymine C5H6N2O2
M_X	Media + produced compounds in Marshland soil on Xylan	fald	Formaldehyde
M_X	Media + produced compounds in Marshland soil on Xylan	h2s	Hydrogen sulfide
M_X	Media + produced compounds in Marshland soil on Xylan	pheme	Protoheme C34H30FeN4O4
M_X	Media + produced compounds in Marshland soil on Xylan	ribflv	Riboflavin C17H20N4O6
M_X	Media + produced compounds in Marshland soil on Xylan	h	H+
M_X	Media + produced compounds in Marshland soil on Xylan	xylan8	Xylan (8 backbone units, 2 glcur side chain)
M_X	Media + produced compounds in Marshland soil on Xylan	gua	Guanine
M_X	Media + produced compounds in Marshland soil on Xylan	cl	Chloride
M_X	Media + produced compounds in Marshland soil on Xylan	fol	Folate
M_X	Media + produced compounds in Marshland soil on Xylan	ibt	Isobutyrate
M_X	Media + produced compounds in Marshland soil on Xylan	ocdcea	Octadecenoate (n-C18:1)
M_X	Media + produced compounds in Marshland soil on Xylan	succ	Succinate
M_X	Media + produced compounds in Marshland soil on Xylan	btn	Biotin
M_X	Media + produced compounds in Marshland soil on Xylan	ppa	Propionate (n-C3:0)
M_X	Media + produced compounds in Marshland soil on Xylan	gcald	Glycolaldehyde
M_X	Media + produced compounds in Marshland soil on Xylan	ca2	Calcium
M_X	Media + produced compounds in Marshland soil on Xylan	for	Formate
M_X	Media + produced compounds in Marshland soil on Xylan	na1	Sodium
M_X	Media + produced compounds in Marshland soil on Xylan	fad	Flavin adenine dinucleotide oxidized
M_X	Media + produced compounds in Marshland soil on Xylan	lac__L	L-Lactate
M_X	Media + produced compounds in Marshland soil on Xylan	4abutn	4-Aminobutanal
M_X	Media + produced compounds in Marshland soil on Xylan	so4	Sulfate
M_X	Media + produced compounds in Marshland soil on Xylan	h2o	H2O H2O
M_X	Media + produced compounds in Marshland soil on Xylan	glyc	Glycerol
M_X	Media + produced compounds in Marshland soil on Xylan	h2	Hydrogen
M_X	Media + produced compounds in Marshland soil on Xylan	asp__D	D-Aspartate
M_X	Media + produced compounds in Marshland soil on Xylan	4abz	4-Aminobenzoate
M_X	Media + produced compounds in Marshland soil on Xylan	pta	Pentanoate
M_X	Media + produced compounds in Marshland soil on Xylan	ura	Uracil
M_X	Media + produced compounds in Marshland soil on Xylan	co2	CO2 CO2
M_X	Media + produced compounds in Marshland soil on Xylan	mal__L	L-Malate
M_X	Media + produced compounds in Marshland soil on Xylan	mg2	Magnesium
M_X	Media + produced compounds in Marshland soil on Xylan	zn2	Zinc
M_X	Media + produced compounds in Marshland soil on Xylan	fe2	Fe2+ mitochondria
M_X	Media + produced compounds in Marshland soil on Xylan	thm	Thiamin
M_X	Media + produced compounds in Marshland soil on Xylan	xyl__D	D-Xylose
M_X	Media + produced compounds in Marshland soil on Xylan	pi	Phosphate
M_X	Media + produced compounds in Marshland soil on Xylan	pacald	Phenylacetaldehyde
M_X	Media + produced compounds in Marshland soil on Xylan	xylan4	Xylan (4 backbone units, 1 glcur side chain)
M_X	Media + produced compounds in Marshland soil on Xylan	etoh	Ethanol
M_X	Media + produced compounds in Marshland soil on Xylan	nh4	Ammonium
M_X	Media + produced compounds in Marshland soil on Xylan	xylb	Xylobiose
M_X	Media + produced compounds in Marshland soil on Xylan	ch4s	Methanethiol CH4S
M_X	Media + produced compounds in Marshland soil on Xylan	cobalt2	Co2+
M_X	Media + produced compounds in Marshland soil on Xylan	spmd	Spermidine
M_X	Media + produced compounds in Marshland soil on Xylan	cys__L	L-Cysteine
M_X	Media + produced compounds in Marshland soil on Xylan	fe3	Iron (Fe3+)
M_X	Media + produced compounds in Marshland soil on Xylan	k	Potassium
M_X	Media + produced compounds in Marshland soil on Xylan	pydxn	Pyridoxine
